ALL_Uniq,Name_USGSO,Densità_pop,evi,eolico,eolico_std,offshore,geothermal_potential,hydro,temp,solar_pow,solar_seas_ind,superficie_res,Densità_pop_etichetta,Solar_etichetta,Wind_class,consumption_etichetta,NO_res,gdp_cons_pop_urban_merged
88506,Marajo,-0.4728199681812489,0.5051548917449749,1.4898788616550207,0.10495514841347847,0.0,0.0,0.0,0.09281830908444984,7.8422666592395025,-0.17742004852957374,-0.1755255835220112,S,L,1,S,0,-0.11422875389979949
88509,Amazon Delta,-0.29145425515205886,0.8313734247153891,0.7182220182527155,-0.006089852797192433,0.0,0.0,1.6597117038655353,0.09512584049723219,7.3849773519027115,-0.1711103491571859,-0.6772718395168018,S,M,1,XS,0,-0.14035726991731817
88515,Marajo,-0.5109044518593898,0.7358875716292992,0.8464517477729495,0.5315467652179447,0.0,0.0,1.8713800310199726,0.07476806305630734,7.372373040306443,-0.20913734087460967,-1.0670050247265703,S,M,1,S,1,-0.0812054724024891
88521,Marajo,-0.7664562892281263,0.9885517286140445,0.7495250402555627,0.28131438979756285,0.0,0.0,1.9741482451844339,0.07959835913647127,7.278747061204336,-0.12723702376303347,-0.34664921759237394,S,M,1,XS,0,-0.15451339503646935
88529,Marajo,-0.5512984676966257,0.6732263335757133,0.7336142991208083,0.2396905192142258,0.0,0.0,2.242263614171043,0.07959835913647127,7.29473516420681,-0.108689226449175,0.20519024821909262,S,M,1,XS,0,-0.18509708115229712
88533,Marajo,-0.9284010992864243,0.5835902060432415,0.6983785762622321,0.2668727170426561,0.0,0.0,1.6938574333551912,0.07890961151902973,7.376193610676983,-0.10613669105691559,-0.060541027192441324,S,M,1,XS,0,-0.16635162721175864
88534,Amazon Delta,-0.984091488697807,0.3863468307404576,0.6650419679203121,0.007106632508892502,0.0,0.0,1.862602025897016,0.08682250574704474,7.268184649747419,-0.11267952332685237,-0.06324845761374834,S,M,1,XS,0,-0.17876820914577846
88546,Marajo,1.598508444829886,1.0681426465814594,0.6537538819915358,0.30163719448986154,0.0,0.0,2.292677476414283,0.05757425195954347,7.054107321880021,-0.10162557145638453,-0.5213257397098181,L,M,1,S,0,0.9634317829069734
88550,Amazon Delta,-1.2021878217000028,0.646324630625069,0.7139085794093827,0.07026157604273466,0.0,0.0,1.9357259980653034,0.0814240613002357,7.273087202989686,-0.06417233561408811,0.09946862634452945,S,M,1,S,0,-0.11087213578752568
88551,Marajo,-1.0270090129236897,0.488890694467879,0.7094547852669169,0.15698185799056488,0.0,0.0,2.2376232146965385,0.07956538109301546,7.169098103212868,-0.07719453997190595,0.11305527954372939,S,M,1,S,0,0.05240443939690509
88553,Marajo,-1.0446298801292175,0.8439987088713553,0.7607191176258106,0.1541039599444999,0.0,0.0,2.3271855481827606,0.07769946413474739,7.081821196280539,-0.049232147491234945,0.38590381578580113,S,M,1,S,0,-0.023104165270643625
88554,Marajo,-1.3611899131043157,0.9520649390857029,0.7204173510309576,0.1712454172910612,0.0,0.0,2.295213205545506,0.07551668116929419,7.11539754119095,-0.07251320183849339,-0.6647065790060405,S,M,1,S,0,0.09826316488801964
88556,Amazon Delta,-0.8477153917023793,0.5069818576422251,0.7503810060061485,-0.011899836442376252,0.0,0.0,1.8979126783035223,0.08249380392589266,7.243588845710165,-0.07542380755174616,0.431411258950382,S,M,1,XS,0,-0.1778848529794591
88560,Amazon Delta,-1.0562268601821923,0.6695298800129003,0.737286577114284,0.013371234342264027,0.0,0.0,1.9921933881300653,0.081707536201532,7.2519324864585215,-0.06047362638772855,1.125530313029055,S,M,1,S,0,-0.005050103030287246
